,isbn13,isbn10,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count
35,9780006646006,000664600X,ocean star express,,Mark Haddon;Peter Sutton,juvenile fiction,http://books.google.com/books/content?id=I2QZAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,joe parent enjoying summer holiday sea ocean star hotel sky bright blue sun shine joe love seaside offer fog roll rain fall joe begin wish back home thing change however owner hotel invite joe share magical world step away loft black night joes head thousand tiny star begin sparkle distance hears chugchugchug model train whole world soon open joes eye world snowcapped mountain great desert rocking fishing boat,2002.0,3.5,32.0,1.0
36,9780006754893,0006754899,small pinch weather,And Other Stories,Joan Aiken,childrens story english,http://books.google.com/books/content?id=QiFhOBpYZoYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,magical fantastic collection early story one original childrens author th century year old,2000.0,4.27,239.0,116.0
38,9780007103676,0007103670,koko,,Peter Straub,male friendship,http://books.google.com/books/content?id=QV_XQKj4OMkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,koko peter straubs foray psychological horror vietnam war,2001.0,3.56,634.0,7586.0
39,9780007105045,0007105045,tree leaf,The Homecoming of Beorhtnoth : Beorhthelm's Son,John Ronald Reuel Tolkien,literary collection,http://books.google.com/books/content?id=aPb_AAIcwZ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,two work fairystories leaf niggle first brought together form book tree leaf new edition third element added poem mythopoeia making mythspreface,2001.0,4.09,176.0,2245.0
40,9780007111503,0007111509,partner crime,,Agatha Christie,beresford tommy fictitious character,http://books.google.com/books/content?id=L0bfy0zgkegC&printsec=frontcover&img=1&zoom=1&source=gbs_api,famous volume tommy tuppence linked short story reissued new look coincide brand new series tommy tuppence bbc movie tommy tuppence beresford restless adventure asked take blunt international detective agency leapt chance triumphant recovery pink pearl intriguing case kept coming way stabbing sunningdale golf course cryptic message personal column newspaper even box poisoned chocolate,2001.0,3.77,347.0,9506.0
41,9780007113804,0007113803,murder mesopotamia,,Agatha Christie,detective mystery story,http://books.google.com/books/content?id=oFkbc7BbYN0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,archaeologist wife murdered shore river tigris iraq clear amy leatheran something sinister going hassanieh dig iraq something associated presence lovely louise wife celebrated archaeologist dr leidner day time hercule poirot due drop excavation site louise suffering terrifying hallucination tension within group becoming almost unbearable poirot might late,2001.0,3.89,264.0,25692.0
42,9780007116263,0007116268,lord ring return king,Visual Companion,Jude Fisher,imaginary war battle,http://books.google.com/books/content?id=kNBnQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,visual guide third lord ring movie trilogy largeformat fullcolour guide character place landscape artefact battle costume seen film feature image informative text specially commissioned extra,2003.0,4.59,72.0,22.0
43,9780007117536,0007117531,family psychotic,,Douglas Coupland,dysfunctional family,http://books.google.com/books/content?id=jYBsNp6NPVoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,eve next space shuttle mission divided family come together warm witty wise family psychotic coupland top form irresistibly hilarious unique wonderful independent sunday cheap motel hour cape canaveral janet drummond take medication rapid tally whereabouts child wade spent night jail suicidal bryan due arrive moment vowelfree girlfriend shw sarah bolt lightning frozen midflash orlando star friday shuttle mission janets exhusband trophy wife also town janet spends moment contemplating family went wrong,2002.0,3.69,279.0,350.0
44,9780007119332,000711933X,death cloud,,Agatha Christie,detective mystery story,http://books.google.com/books/content?id=M8iyckq4GQ0C&printsec=frontcover&img=1&zoom=1&source=gbs_api,woman killed poisoned dart enclosed confines commercial passenger plane seat hercule poirot ideally placed observe fellow air passenger right sat pretty young woman clearly infatuated man opposite ahead seat sat countess poorlyconcealed cocaine habit across gangway seat detective writer troubled aggressive wasp poirot yet realize behind seat sat slumped lifeless body woman,2001.0,3.8,333.0,21123.0
45,9780007119356,0007119356,appointment death,,Agatha Christie,detective mystery story,http://books.google.com/books/content?id=lSYwsRkcw4YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,repugnant amercian widow killed trip petra among towering red cliff petra like monstrous swollen buddha sat corpse mr boynton tiny puncture mark wrist sign fatal injection killed hour available solve mystery hercule poirot recalled chance remark hed overheard back jerusalem see dont shes got killed mr boynton indeed detestable woman hed ever met,2001.0,3.86,303.0,24859.0
46,9780007120680,0007120680,halloween party,,Agatha Christie,poirot hercule fictitious character,http://books.google.com/books/content?id=Qlx98EGK_jMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,one belief little girl insists witnessed murder turn drowned hercule poirot set catch killer,2001.0,3.66,336.0,18820.0
47,9780007120697,0007120699,hercule poirots christmas,,Agatha Christie,christmas story,http://books.google.com/books/content?id=EA0j4Jzn4vAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,night christmas cruel tyrannical filthyrich simeon lee found locked bedroom throat cut hercule poirot must put deductive power test solve one chilling casesand prevent clever killer spilling blood,2001.0,3.93,335.0,23113.0
48,9780007120819,0007120818,big four,,Agatha Christie,detective mystery story,http://books.google.com/books/content?id=wcOQUSWQEdUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,ruthless international cartel seek world domination framed doorway poirots bedroom stood uninvited guest coated head foot dust man gaunt face stared moment swayed fell suffering shock exhaustion significance figure scribbled sheet paper poirot find plunged world international intrigue risking life uncover truth number four,2002.0,3.59,272.0,22155.0
49,9780007120864,0007120869,thirteen problem,,Agatha Christie,detective mystery story english,http://books.google.com/books/content?id=MK9JNwoZAncC&printsec=frontcover&img=1&zoom=1&source=gbs_api,tuesday night club venue local challenge miss marple solve recent crime one tuesday evening group gather miss marples house conversation turn unsolved crime case disappearing bloodstain thief committed crime twice message deathbed poisoned man read heap fish strange case invisible spiritualist warned blue geranium meant death pit wit power deduction tuesday night club,2002.0,3.89,315.0,12840.0
50,9780007120871,0007120877,mirror,,Agatha Christie,american fiction,http://books.google.com/books/content?id=HUuQYGppZi8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,man shot juvenile reform home someone else dy miss marple sens danger visit friend living victorian mansion double rehabilitiation centre delinquent fear confirmed youth fire revolver administrator lewis serrocold neither injured mysterious visitor mr gilbrandsen le fortunate shot dead simultaneously another part building pure coincidence miss marple think vow discover real reason mr gilbrandsens visit,2002.0,3.75,284.0,415.0
51,9780007120963,0007120966,murder announced,,Agatha Christie,detective mystery story english,http://books.google.com/books/content?id=QEEvzeAkdzoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,villager chipping cleghorn amazed advertisement local paper read murder announced take place friday october th little paddock pm unable resist crowd begin gather house appointed time man killed look like attempted robbery miss marple becomes involved,2002.0,3.98,382.0,680.0
52,9780007120987,0007120982,mirror crackd side side,,Agatha Christie,marple jane fictitious character,http://books.google.com/books/content?id=lTYId7FIJEsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,one minute silly heather badcock gabbling movie idol glamorous marina gregg next heather suffered massive seizure deadly poison really intended marina frozen expression suggested witnessed something horrific others searched material evidence jane marple conducted different investigation human nature,2002.0,3.91,351.0,23249.0
53,9780007121007,0007121008,mr mcgintys dead,,Agatha Christie,belgian,http://books.google.com/books/content?id=gcS0d5HhGEEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,old widow brutally killed parlour cottage mr mcginty died brutal blow back head suspicion fell immediately shifty lodger james bentley whose clothes revealed trace victim blood hair yet something amiss bentley didnt look like murderer poirot believed could save man gallows didnt realise life great danger,2002.0,3.83,328.0,525.0
54,9780007121014,0007121016,taken flood,,Agatha Christie,fiction,http://books.google.com/books/content?id=3gWlxIFlMEwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,week marrying attractive young widow gordon cloade tragically killed bomb blast london blitz overnight former mr underhay find sole possession cloade family fortune shortly afterwards hercule poirot receives visit dead man sisterinlaw claim warned spirit mr underhay first husband still alive poirot suspicion asked find missing person guided spirit world yet mystifies poirot woman true motive approaching,2002.0,3.71,352.0,8852.0
55,9780007121021,0007121024,hollow,,Agatha Christie,detective mystery story,http://books.google.com/books/content?id=-f1h4e0hl0oC&printsec=frontcover&img=1&zoom=1&source=gbs_api,lucy angkatell invited hercule poirot lunch tease great detective guest stage mock murder beside swimming pool unfortunately victim play scene real blood drip water john christow gasp one final word henrietta confusion gun sink bottom pool poirot enquiry reveal complex web romantic attachment seems everyone drama suspect victim love,2002.0,3.79,384.0,13022.0
56,9780007121106,0007121105,third girl,,Agatha Christie,belgian,http://books.google.com/books/content?id=Dbh7nUkG_6cC&printsec=frontcover&img=1&zoom=1&source=gbs_api,perplexed girl think might killed someone three single girl shared london flat first worked secretary second artist third came poirot help disappeared convinced murderer rumour revolver flickknives blood stain without hard evidence would take poirots tenacity establish whether third girl guilty innocent insane,2002.0,3.62,365.0,13705.0
57,9780007122585,0007122586,secret chimney,,Agatha Christie,battle superintendent fictitious character,http://books.google.com/books/content?id=1OluX5g96OcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,young drifter find bargained agrees deliver parcel english country house,2001.0,3.86,400.0,11110.0
58,9780007124015,0007124015,lord ring,,J. R. R. Tolkien,baggins frodo fictitious character,,sauron gathered ring power mean able rule world need ruling ring fallen hand hobbit bilbo baggins frodo baggins entrusted foil saurons plan,2001.0,4.49,1546.0,187.0
59,9780007126903,0007126905,metaphysical club,,Louis Menand,cambridge mass,http://books.google.com/books/content?id=C3Gkwi3SfmMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,absorbing narrative personality social history menand discus metaphysical club informal group met cambridge massachusetts talk idea member included oliver wendell holmes jr william james charles sander peirce photo,2002.0,4.07,560.0,3311.0
61,9780007129652,0007129653,wilkins tooth,,Diana Wynne Jones,business enterprise,http://books.google.com/books/content?id=lXUSHqQfOD8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,back limitedrevenge arranged price according task difficult task undertaken treasure hunted etc seemed like marvellous scheme time frank jess set business needed money pocketmoney stopped frank owed buster knell ten penny father put quick stop errand run try something bad instead offering dreadful thing people didnt dare pinned notice pottingshed waited customer course nothing ever straightforward,2002.0,3.59,207.0,69.0
62,9780007130313,0007130317,cut,,Patricia McCormick,emotional problem,http://books.google.com/books/content?id=Q140Mlie138C&printsec=frontcover&img=1&zoom=1&source=gbs_api,fifteenyear old callie withdrawn shes speaking anyone including therapist sea pine known guest sick mind residential treatment facility parent doctor send discovering cut story unfolds primarily dramatic monologue gradually revealing family turmoil led selfdestructive behaviour,2002.0,3.76,173.0,107.0
63,9780007135653,0007135653,lord ring,The Art of The Return of the King,Gary Russell,character characteristic motion picture,http://books.google.com/books/content?id=oEZ6AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,complete access artwork created fiveyear period guide illustrates creative development return king contains image earliest pencil sketch conceptual drawing magnificent painting sculpture digital imagery shaped look film contributing artist include john howe alan lee artist inspired peter jackson vision middleearth worked bring trilogy big screen peter jackson provides afterword discus importance conceptual art film cover aspect eagerly awaited finale enormously successful trilogy location costume weaponry creature artist created diverse element explain contributed development film,2004.0,4.54,224.0,28.0
64,9780007136582,0007136587,lord ring,,John Ronald Reuel Tolkien,fantasy fiction english,http://books.google.com/books/content?id=LwO-vgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,since first published lord ring book people treasured steeped unrivalled magic otherworldliness sweeping fantasy touched heart young old alike well million copy many edition sold around world occasional collector edition become prized valuable item publishing epic trilogy released film image character landscape become eagerly sought much look movie based alan lee painting giving centenary edition tolkien great work new relevance evergrowing number fan,2002.0,4.49,1200.0,680.0
65,9780007136599,0007136595,fellowship ring,,John Ronald Reuel Tolkien;Alan Lee,baggins frodo fictitious character,http://books.google.com/books/content?id=K7xSPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,tolkien classic fantasy quest save middleearthand basis peter jackson academy awardwinning film trilogyis available young reader edition book trilogy available individually together threevolume paperback boxed set,2002.0,4.35,410.0,56.0
66,9780007137336,0007137338,lirael,Daughter of the Clayr,Garth Nix,fantasy fiction,http://books.google.com/books/content?id=sDzU8TpKvQAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,dangerous necromancer threatens unleash longburied evil lirael prince sameth drawn battle save old kingdom reveal true destiny suggested level secondary,2004.0,4.3,527.0,1339.0
67,9780007149124,0007149123,tale perilous realm,,John Ronald Reuel Tolkien,fairy tale english,http://books.google.com/books/content?id=Wla7NwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,never published single volume tolkien four novella farmer giles ham leaf niggle smith wootton major roverandom one book poem adventure tom bombadil gathered together fully illustrated set,2002.0,4.08,178.0,2964.0
68,9780007149612,0007149611,breaking open head,A Visionary Journey from Cynicism to Shamanism,Daniel Pinchbeck,hallucinogenic drug,http://books.google.com/books/content?id=QIMaviqqoQoC&printsec=frontcover&img=1&zoom=1&source=gbs_api,new door perception st century visionary journey cynicism shamanism brilliant young u writer,2004.0,4.06,336.0,46.0
69,9780007149827,0007149824,yiddish policeman union,A Novel,Michael Chabon,fiction,http://books.google.com/books/content?id=-reD1g77BfsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,sixty year jewish refugee descendant prospered federal district sitka temporary safe created wake revelation holocaust shocking collapse fledgling state israel proud grateful longing american jew sitka district created little world alaskan panhandle vibrant gritty soulful complex frontier city move music yiddish sixty year left alone neglected halfforgotten backwater history district set revert alaskan control dream coming end tide history threaten sweep carry unknown homicide detective meyer landsman district police enough problem without worrying upcoming reversion life shamble marriage wreck career disaster halftlingit partner berko shemets cant catch break outstanding case landsman new supervisor love lifeand also worst nightmare cheap hotel washed someone committed murderright landsman nose habit obligation mysterious sense somehow offer shot redeeming landsman begin investigate killing neighbor former chess prodigy word come high case dropped immediately landsman soon find contending powerful force faith obsession hopefulness evil salvation heritageand unfinished business marriage bina gelbfish one person understands darkest fear gripping whodunit love story homage noir exploration mystery exile redemption yiddish policeman union novel michael chabon could written,2007.0,3.7,414.0,51219.0
